Category,Region,Turnover Band,Percentage
E324 Building Completion Services,Waikato Region,08 $100m-<$200m,4.36E-06
E324 Building Completion Services,Waikato Region,09 $200m+,3.12E-07
E324 Building Completion Services,Wellington Region,01 <$100k,0.008010763
E324 Building Completion Services,Wellington Region,02 $100k-<$1m,0.009612298
E324 Building Completion Services,Wellington Region,03 $1m-<$5m,0.002176603
E324 Building Completion Services,Wellington Region,04 $5m-<$10m,0.000304152
E324 Building Completion Services,Wellington Region,05 $10m-<$20m,0.000114395
E324 Building Completion Services,Wellington Region,06 $20m-<$50m,7.23E-05
E324 Building Completion Services,Wellington Region,07 $50m-<$100m,1.28E-05
E324 Building Completion Services,Wellington Region,08 $100m-<$200m,5.41E-06
E324 Building Completion Services,Wellington Region,09 $200m+,3.86E-07
E329 Other Construction Services,Auckland Region,01 <$100k,0.013989931
E329 Other Construction Services,Auckland Region,02 $100k-<$1m,0.016786838
E329 Other Construction Services,Auckland Region,03 $1m-<$5m,0.003801201
E329 Other Construction Services,Auckland Region,04 $5m-<$10m,0.000531169
E329 Other Construction Services,Auckland Region,05 $10m-<$20m,0.000199779
E329 Other Construction Services,Auckland Region,06 $20m-<$50m,0.000126212
E329 Other Construction Services,Auckland Region,07 $50m-<$100m,2.23E-05
E329 Other Construction Services,Auckland Region,08 $100m-<$200m,9.45E-06
E329 Other Construction Services,Auckland Region,09 $200m+,6.75E-07
E329 Other Construction Services,Canterbury Region,01 <$100k,0.004806458
E329 Other Construction Services,Canterbury Region,02 $100k-<$1m,0.005767379
E329 Other Construction Services,Canterbury Region,03 $1m-<$5m,0.001305962
E329 Other Construction Services,Canterbury Region,04 $5m-<$10m,0.000182491
E329 Other Construction Services,Canterbury Region,05 $10m-<$20m,6.86E-05
E329 Other Construction Services,Canterbury Region,06 $20m-<$50m,4.34E-05
E329 Other Construction Services,Canterbury Region,07 $50m-<$100m,7.65E-06
E329 Other Construction Services,Canterbury Region,08 $100m-<$200m,3.25E-06
E329 Other Construction Services,Canterbury Region,09 $200m+,2.32E-07
E329 Other Construction Services,Rest of North Island,01 <$100k,0.008374138
E329 Other Construction Services,Rest of North Island,02 $100k-<$1m,0.01004832
E329 Other Construction Services,Rest of North Island,03 $1m-<$5m,0.002275335
E329 Other Construction Services,Rest of North Island,04 $5m-<$10m,0.000317949
E329 Other Construction Services,Rest of North Island,05 $10m-<$20m,0.000119584
E329 Other Construction Services,Rest of North Island,06 $20m-<$50m,7.55E-05
E329 Other Construction Services,Rest of North Island,07 $50m-<$100m,1.33E-05
E329 Other Construction Services,Rest of North Island,08 $100m-<$200m,5.66E-06
E329 Other Construction Services,Rest of North Island,09 $200m+,4.04E-07
E329 Other Construction Services,Rest of South Island,01 <$100k,0.004228362
E329 Other Construction Services,Rest of South Island,02 $100k-<$1m,0.005073708
E329 Other Construction Services,Rest of South Island,03 $1m-<$5m,0.001148887
E329 Other Construction Services,Rest of South Island,04 $5m-<$10m,0.000160542
E329 Other Construction Services,Rest of South Island,05 $10m-<$20m,6.04E-05
E329 Other Construction Services,Rest of South Island,06 $20m-<$50m,3.81E-05
E329 Other Construction Services,Rest of South Island,07 $50m-<$100m,6.73E-06
E329 Other Construction Services,Rest of South Island,08 $100m-<$200m,2.86E-06
E329 Other Construction Services,Rest of South Island,09 $200m+,2.04E-07
E329 Other Construction Services,Waikato Region,01 <$100k,0.004063191
E329 Other Construction Services,Waikato Region,02 $100k-<$1m,0.004875516
E329 Other Construction Services,Waikato Region,03 $1m-<$5m,0.001104009
E329 Other Construction Services,Waikato Region,04 $5m-<$10m,0.000154271
E329 Other Construction Services,Waikato Region,05 $10m-<$20m,5.80E-05
E329 Other Construction Services,Waikato Region,06 $20m-<$50m,3.67E-05
E329 Other Construction Services,Waikato Region,07 $50m-<$100m,6.47E-06
E329 Other Construction Services,Waikato Region,08 $100m-<$200m,2.74E-06
E329 Other Construction Services,Waikato Region,09 $200m+,1.96E-07
E329 Other Construction Services,Wellington Region,01 <$100k,0.003006101
E329 Other Construction Services,Wellington Region,02 $100k-<$1m,0.003607089
E329 Other Construction Services,Wellington Region,03 $1m-<$5m,0.000816787
E329 Other Construction Services,Wellington Region,04 $5m-<$10m,0.000114136
E329 Other Construction Services,Wellington Region,05 $10m-<$20m,4.29E-05
E329 Other Construction Services,Wellington Region,06 $20m-<$50m,2.71E-05
E329 Other Construction Services,Wellington Region,07 $50m-<$100m,4.79E-06
E329 Other Construction Services,Wellington Region,08 $100m-<$200m,2.03E-06
E329 Other Construction Services,Wellington Region,09 $200m+,1.45E-07
