Category,Region,Turnover Band,Percentage
E302 Non-Residential Building Construction,Rest of North Island,04 $5m-<$10m,9.54E-05
E302 Non-Residential Building Construction,Rest of North Island,05 $10m-<$20m,4.88E-05
E302 Non-Residential Building Construction,Rest of North Island,06 $20m-<$50m,2.83E-05
E302 Non-Residential Building Construction,Rest of North Island,07 $50m-<$100m,5.72E-06
E302 Non-Residential Building Construction,Rest of North Island,08 $100m-<$200m,3.97E-06
E302 Non-Residential Building Construction,Rest of North Island,09 $200m+,2.22E-06
E302 Non-Residential Building Construction,Rest of South Island,01 <$100k,0.001044139
E302 Non-Residential Building Construction,Rest of South Island,02 $100k-<$1m,0.000922806
E302 Non-Residential Building Construction,Rest of South Island,03 $1m-<$5m,0.00029052
E302 Non-Residential Building Construction,Rest of South Island,04 $5m-<$10m,4.53E-05
E302 Non-Residential Building Construction,Rest of South Island,05 $10m-<$20m,2.31E-05
E302 Non-Residential Building Construction,Rest of South Island,06 $20m-<$50m,1.34E-05
E302 Non-Residential Building Construction,Rest of South Island,07 $50m-<$100m,2.71E-06
E302 Non-Residential Building Construction,Rest of South Island,08 $100m-<$200m,1.88E-06
E302 Non-Residential Building Construction,Rest of South Island,09 $200m+,1.06E-06
E302 Non-Residential Building Construction,Waikato Region,01 <$100k,0.000950912
E302 Non-Residential Building Construction,Waikato Region,02 $100k-<$1m,0.000840413
E302 Non-Residential Building Construction,Waikato Region,03 $1m-<$5m,0.000264581
E302 Non-Residential Building Construction,Waikato Region,04 $5m-<$10m,4.12E-05
E302 Non-Residential Building Construction,Waikato Region,05 $10m-<$20m,2.11E-05
E302 Non-Residential Building Construction,Waikato Region,06 $20m-<$50m,1.22E-05
E302 Non-Residential Building Construction,Waikato Region,07 $50m-<$100m,2.47E-06
E302 Non-Residential Building Construction,Waikato Region,08 $100m-<$200m,1.72E-06
E302 Non-Residential Building Construction,Waikato Region,09 $200m+,9.61E-07
E302 Non-Residential Building Construction,Wellington Region,01 <$100k,0.001137366
E302 Non-Residential Building Construction,Wellington Region,02 $100k-<$1m,0.0010052
E302 Non-Residential Building Construction,Wellington Region,03 $1m-<$5m,0.000316459
E302 Non-Residential Building Construction,Wellington Region,04 $5m-<$10m,4.93E-05
E302 Non-Residential Building Construction,Wellington Region,05 $10m-<$20m,2.52E-05
E302 Non-Residential Building Construction,Wellington Region,06 $20m-<$50m,1.46E-05
E302 Non-Residential Building Construction,Wellington Region,07 $50m-<$100m,2.96E-06
E302 Non-Residential Building Construction,Wellington Region,08 $100m-<$200m,2.05E-06
E302 Non-Residential Building Construction,Wellington Region,09 $200m+,1.15E-06
E310 Heavy and Civil Engineering Construction,Auckland Region,01 <$100k,0.003031596
E310 Heavy and Civil Engineering Construction,Auckland Region,02 $100k-<$1m,0.004677601
E310 Heavy and Civil Engineering Construction,Auckland Region,03 $1m-<$5m,0.001985032
E310 Heavy and Civil Engineering Construction,Auckland Region,04 $5m-<$10m,0.000550306
E310 Heavy and Civil Engineering Construction,Auckland Region,05 $10m-<$20m,0.000432383
E310 Heavy and Civil Engineering Construction,Auckland Region,06 $20m-<$50m,0.000275153
E310 Heavy and Civil Engineering Construction,Auckland Region,07 $50m-<$100m,0.000113009
E310 Heavy and Civil Engineering Construction,Auckland Region,08 $100m-<$200m,8.35E-05
E310 Heavy and Civil Engineering Construction,Auckland Region,09 $200m+,7.37E-05
E310 Heavy and Civil Engineering Construction,Canterbury Region,01 <$100k,0.001131193
E310 Heavy and Civil Engineering Construction,Canterbury Region,02 $100k-<$1m,0.001745373
E310 Heavy and Civil Engineering Construction,Canterbury Region,03 $1m-<$5m,0.000740684
E310 Heavy and Civil Engineering Construction,Canterbury Region,04 $5m-<$10m,0.000205338
E310 Heavy and Civil Engineering Construction,Canterbury Region,05 $10m-<$20m,0.000161337
E310 Heavy and Civil Engineering Construction,Canterbury Region,06 $20m-<$50m,0.000102669
E310 Heavy and Civil Engineering Construction,Canterbury Region,07 $50m-<$100m,4.22E-05
E310 Heavy and Civil Engineering Construction,Canterbury Region,08 $100m-<$200m,3.12E-05
E310 Heavy and Civil Engineering Construction,Canterbury Region,09 $200m+,2.75E-05
E310 Heavy and Civil Engineering Construction,Rest of North Island,01 <$100k,0.001956963
E310 Heavy and Civil Engineering Construction,Rest of North Island,02 $100k-<$1m,0.003019496
E310 Heavy and Civil Engineering Construction,Rest of North Island,03 $1m-<$5m,0.001281383
E310 Heavy and Civil Engineering Construction,Rest of North Island,04 $5m-<$10m,0.000355235
E310 Heavy and Civil Engineering Construction,Rest of North Island,05 $10m-<$20m,0.000279113
E310 Heavy and Civil Engineering Construction,Rest of North Island,06 $20m-<$50m,0.000177617
E310 Heavy and Civil Engineering Construction,Rest of North Island,07 $50m-<$100m,7.30E-05
E310 Heavy and Civil Engineering Construction,Rest of North Island,08 $100m-<$200m,5.39E-05
E310 Heavy and Civil Engineering Construction,Rest of North Island,09 $200m+,4.76E-05
E310 Heavy and Civil Engineering Construction,Rest of South Island,01 <$100k,0.001142505
E310 Heavy and Civil Engineering Construction,Rest of South Island,02 $100k-<$1m,0.001762827
