gdp_chg,pop_chg,govt,Apartments,Commercial,Domestic outbuildings,Education,Farm,Healthcare,Houses,Industrial,Retirement village,Sociocultural,Temporary Accommodation,Townhouses
-0.02,-0.02,0.0,-0.013622584282761252,0.1152774394168501,-0.4203918607014376,-0.2221412142990323,-0.008164525696689566,0.2834789000771978,0.017052617203023063,0.07090338159387019,0.2858227712793303,0.1424659932305951,0.07728540957044605,-0.12522560661733279
-0.02,-0.02,0.2,0.019377782639122376,0.10929531995473768,-0.4259697106660386,-0.2425011222626157,0.011994147111112241,0.29779652611778384,0.01297100464324591,0.07127752079634962,0.36198407339831035,0.1287728531971209,0.05361446372639955,-0.13291904863991055
-0.02,-0.02,0.4,0.05237814956099884,0.1033132004926076,-0.4315475618636782,-0.26286103022622875,0.03215281991893475,0.3121141521583611,0.008889392083453157,0.07165165999846318,0.4381453755173434,0.1150797131589612,0.029943517882282278,-0.14061249066319514
-0.02,-0.02,0.6000000000000001,0.08537851648284167,0.09733108103046464,-0.43712541385107023,-0.2832209381898551,0.052311492726761895,0.32643177819891817,0.0048077795236480675,0.0720257992001902,0.5143066776363688,0.10138657311687282,0.006272572038113378,-0.14830593268695463
-0.02,-0.02,0.8,0.11837888340462505,0.09134896156831354,-0.44270326618492845,-0.3035808461534788,0.07247016553457766,0.34074940423944367,0.0007261669638339158,0.07239993840151002,0.5904679797553262,0.0876934330716122,-0.017398373806088496,-0.1559993747109572
-0.02,-0.02,1.0,0.1513792503263222,0.08536684210615907,-0.4482811184219667,-0.32394075411708345,0.09262883834236604,0.3550670302799262,-0.003355445595986148,0.07277407760240197,0.6666292818741548,0.0740002930239359,-0.04106931965030458,-0.16369281673497094
-0.02,-0.01,0.0,0.03245611528432546,0.11527919381260154,-0.030956867992911412,-0.10554019516782948,-0.00816452589854414,0.28374161897633815,0.02915728290596134,0.0709033813033606,0.2858227710621546,0.17800039075388596,0.17969845751611616,-0.03296739659056773
-0.02,-0.01,0.2,0.06545648220620914,0.10929707435048912,-0.03653471795751247,-0.12590010313141295,0.011994146909257673,0.2980592450169242,0.0250756703461842,0.07127752050584003,0.3619840731811347,0.16430725072041175,0.15602751167206957,-0.040660838613145525
-0.02,-0.01,0.4,0.09845684912808556,0.10331495488835904,-0.04211256915515211,-0.14626001109502598,0.03215281971708018,0.31237687105750145,0.02099405778639145,0.07165165970795359,0.4381453753001677,0.1506141106822521,0.13235656582795235,-0.048354280636430144
-0.02,-0.01,0.6000000000000001,0.1314572160499285,0.09733283542621607,-0.04769042114254412,-0.16661991905865245,0.05231149252490733,0.32669449709805853,0.016912445226586373,0.07202579890968061,0.5143066774191931,0.13692097064016368,0.10868561998378334,-0.05604772266018966
-0.02,-0.01,0.8,0.1644575829717117,0.09135071596406498,-0.053268273476402346,-0.18697982702227608,0.0724701653327231,0.341012123138584,0.012830832666772193,0.07239993811100043,0.5904679795381504,0.123227830594903,0.08501467413958153,-0.0637411646841922
-0.02,-0.01,1.0,0.19745794989340898,0.0853685965019105,-0.05884612571344062,-0.2073397349858808,0.09262883814051148,0.35532974917906657,0.00874922010695213,0.07277407731189238,0.6666292816569791,0.1095346905472267,0.06134372829536544,-0.07143460670820594
-0.02,0.0,0.0,0.07836998239755422,0.11527926452501211,-0.01506348024847872,0.0110477532863789,-0.008164526394138831,0.2838470792795849,0.04115197291202394,0.07090338091534516,0.28582276850917154,0.19254614760971067,0.2832170573072984,0.056190076556026376
